Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,boost_score_avg,boost_score_std_dev,boost_score_sum,boosting_timeslots_count,count_authors_sharing_boosted_posts,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,number_pointed_posts,number_pointers,Cluster
587,cf164decd6533983ba4eaa6b5a1cb20b,94,?,0,0,?,0,1,200,0,?,?,?,?,?,0,66,0,1,18800,?,?,cluster6
588,cfbe2edc27e4374ab6aefde2e178652d,12,?,0,1,?,10,1,0,1,0.003937,0,0.003937,0,0,0,0,0,1,5,1,1,cluster3
589,d024c0fb284e3b2baf32a50511e3f073,2612,?,0,0,?,21,1,2,1,?,?,?,?,?,0.54321,1215,660,1,7737,?,?,cluster6
590,d06a9c7374793c79926feddd23140257,332,1,0,1,?,7,1,4,1,0.252852,0,0.252852,1,90,22.75,28,637,1,1574,1,1,cluster1
591,d077b726f58c36d7a621fe3d2b5e03a0,827,?,0,0,?,15,1,0,0,?,?,?,?,?,1.468571,175,257,1,804,?,?,cluster6
592,d114afc965d83e56a68eb080aab8c401,11,1,0,1,?,10,1,2,1,0,0,0,0,0,90,1,90,1,32,1,1,cluster3
593,d1254b46903e3f29939cb8e50261bf9e,33,?,0,1,?,14,1,54,0,0,0,0,0,0,3.745763,118,442,1,1802,1,1,cluster3
594,d1d6dc5d29bf3becb5889f12817a784d,1012,?,0,2,1444.491667,11,1,28,0,?,?,?,?,?,0.646849,46238,29909,3,28837,?,?,cluster2
595,d22f9e0377ed30009fbaf2eec9b8e43a,12,?,0,1,?,10,1,1,1,0.008115,0,0.008115,0,0,0,0,5,1,15,1,1,cluster3
596,d2498a518e7831da804ab53ff152e4b2,2672,?,0,0,?,7,1,10,0,?,?,?,?,?,0.970588,476,462,1,26990,?,?,cluster6
597,d33bc5b286353aa9ae48ab5514fb9d47,2645,?,0,1,?,20,1,7,1,?,?,?,?,?,0.10904,81878,8928,1,20551,?,?,cluster6
598,d344f4b30c793323a9b4baccc16056c1,656,?,0,0,?,14,1,12,1,?,?,?,?,?,0.002807,72682,204,1,8280,?,?,cluster6
599,d3882477dd2a3f949cd1430f47ea7ec4,374,1,0,1,?,7,1,3,1,0.426704,0,0.426704,1,90,8.590164,61,524,1,1288,1,1,cluster1
