@RELATION bad_actors 
 @ATTRIBUTE author_guid string 
 @ATTRIBUTE account_age numeric 
 @ATTRIBUTE author_type numeric 
 @ATTRIBUTE average_hashtags numeric 
 @ATTRIBUTE average_links numeric 
 @ATTRIBUTE average_minutes_between_posts numeric 
 @ATTRIBUTE average_post_lenth numeric 
 @ATTRIBUTE average_posts_per_day_active_days numeric 
 @ATTRIBUTE average_posts_per_day_total numeric 
 @ATTRIBUTE average_user_mentions numeric 
 @ATTRIBUTE boost_score_avg numeric 
 @ATTRIBUTE boost_score_std_dev numeric 
 @ATTRIBUTE boost_score_sum numeric 
 @ATTRIBUTE boosting_timeslots_count numeric 
 @ATTRIBUTE count_authors_sharing_boosted_posts numeric 
 @ATTRIBUTE friends_followers_ratio numeric 
 @ATTRIBUTE number_followers numeric 
 @ATTRIBUTE number_friends numeric 
 @ATTRIBUTE number_of_crawled_posts numeric 
 @ATTRIBUTE number_of_posts numeric 
 @ATTRIBUTE number_pointed_posts numeric 
 @ATTRIBUTE number_pointers numeric 
  @DATA 
 1486df5964cd3f8d860f52166cab0827, 430.0, 1.0, 0.0, 1.0, ?, 7.0, 1.0, 3.0, 1.0, 0.025, 0.0, 0.025, 0.0, 0.0, 18.8, 30.0, 564.0, 1.0, 1340.0, 1.0, 1.0 
 148b1f237bb93970b8e968271f6ee940, 1261.0, ?, 0.0, 0.0, ?, 5.0, 1.0, 95.0, 1.0, ?, ?, ?, ?, ?, 0.13088526588450403, 19689.0, 2577.0, 1.0, 120788.0, ?, ? 
 14cb351185da32c79e56b9d98c13599b, 99.0, ?, 0.0, 1.0, ?, 6.0, 1.0, 116.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.560311284046692, 514.0, 3886.0, 1.0, 11576.0, 1.0, 1.0 
 15584169f64a37a1bcabdb50e02d9e6f, 1687.0, ?, 0.0, 1.0, ?, 19.0, 1.0, 56.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9128024193548387, 3968.0, 3622.0, 1.0, 94500.0, 1.0, 1.0 
 1613ab17657e3104826648f6a8e880f0, 12.0, ?, 0.0, 1.0, ?, 10.0, 1.0, 9.0, 1.0, 0.01972307503968098, 0.0, 0.01972307503968098, 1.0, 191.0, 49.8, 5.0, 249.0, 1.0, 114.0, 1.0, 1.0 
 161d4e11b3e8326aa077751ad6684ec4, 430.0, 1.0, 0.0, 1.0, ?, 7.0, 1.0, 4.0, 1.0, 0.025, 0.0, 0.025, 0.0, 0.0, 12.895833333333334, 48.0, 619.0, 1.0, 1974.0, 1.0, 1.0 
 16a3a9bd786f31caa7ffb82a3a2d9651, 184.0, 1.0, 0.0, 1.0, ?, 11.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9497907949790795, 478.0, 454.0, 1.0, 14.0, 1.0, 1.0 
 16ca2f10cd5f3f1da0952a3147dc86ec, 145.0, ?, 0.0, 1.0, ?, 14.0, 1.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.214975845410628, 414.0, 917.0, 1.0, 1331.0, 1.0, 1.0 
 170f42757b683adcaeca66eaba8b9f57, 1452.0, ?, 0.0, 2.0, ?, 16.0, 1.0, 53.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8947589098532495, 7155.0, 6402.0, 1.0, 77709.0, 1.0, 1.0 
 174c2ccc0745382d9da5496ba87c23cd, 436.0, 1.0, 0.0, 1.0, ?, 7.0, 1.0, 2.0, 1.0, 0.025, 0.0, 0.025, 0.0, 0.0, 12.382352941176471, 68.0, 842.0, 1.0, 1283.0, 1.0, 1.0 
 1755543d554a3994b9a2596984d70018, 19.0, 1.0, 0.0, 1.0, 19.75, 12.5, 2.0, 5.0, 1.0, 0.005470543579894689, 0.001556083639040222, 0.010941087159789378, 0.0, 0.0, 309.0, 1.0, 309.0, 2.0, 104.0, 2.0, 2.0 
 184a61027b4934ea87cf770b2342c409, 11.0, ?, 0.0, 1.0, ?, 10.0, 1.0, 15.0, 1.0, 0.0009803772882102941, 0.0, 0.0009803772882102941, 0.0, 0.0, 78.0, 4.0, 312.0, 1.0, 165.0, 1.0, 1.0 
 185eb60196493c71bf28a6466c9a40ab, 3313.0, ?, 0.0, 2.0, ?, 15.0, 1.0, 0.0, 1.0, ?, ?, ?, ?, ?, 0.2057033002242871, 3121.0, 642.0, 1.0, 1296.0, ?, ? 
 186c62aba1c6329db27a7a50a324eaf6, 1869.0, ?, 0.0, 2.0, ?, 10.0, 1.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.013196915776987, 13488.0, 13666.0, 1.0, 14026.0, 1.0, 1.0 
 193b421216cf3ae5abeb44f5ad184aae, 2010.0, ?, 0.0, 1.0, ?, 9.0, 1.0, 5.0, 0.0, ?, ?, ?, ?, ?, 0.3892543859649123, 912.0, 355.0, 1.0, 11310.0, ?, ? 
