No.,Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,default_profile,default_profile_image,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,Cluster,Cluster
570,5765,9d1e2cc8ea293203803a02223fe9045d,287,?,0,2,1519.548611,18.461538,1.625,1434,0,1,0,0,477,0,13,411669,cluster1,
571,6873,bbee5be3027b3fdf88b2504e285cbc11,282,?,0,1.913043,949.059848,18.173913,2.090909,1150,0,1,0,0,380,0,23,324517,cluster1,
572,4908,83e42bfe78e33b21a9ceb054838e7284,281,?,0,2,2593.004762,17.25,1.333333,1482,0,1,0,0,391,0,8,416591,cluster1,
573,4185,715fad65141832c894bda12850fe6175,279,?,0,1.761905,1028.691667,16.904762,2.333333,9,0.52381,1,0,0.784946,279,219,21,2653,cluster1,
574,3096,544585aa64ab394cb09f1db0b8b26aff,274,?,0,2,5158.860714,16.266667,2.142857,292,0,1,0,0.296296,135,40,15,80167,cluster1,
575,6443,b08465661e0a3f67a05ee8dc2a1a27ea,273,?,0,2,3671.473333,18.166667,1,305,0,1,0,0.357143,112,40,6,83518,cluster1,
576,1882,3240fe741f4a35b39d4d9ec237b622a4,271,?,0,2,879.3,17.714286,1.75,284,0,1,0,0.377358,106,40,7,77055,cluster1,
577,552,0f49807a7527352f92550f3cdb28bdde,263,?,0,0.666667,83.325,18.666667,3,88,1,1,0,4.182733,1193,4990,3,23327,cluster1,
578,1503,280011d9e7a238579d5c058048b692e0,263,?,0,0,?,21,1,1523,1,1,0,0,3326,0,1,400640,cluster1,
579,3089,542525a9b9793960840f8aeb133f17e6,261,?,0,0,?,0,1,1,0,0,0,0.203202,11993,2437,1,276,cluster1,
580,3545,607ef24aa0cc3fe6b011fbb5bc9c2f3d,260,?,0,0.5,1.883333,19,2,66,0,0,0,2.101861,2042,4292,2,17166,cluster1,
581,5611,987eca5aa8bb3802bec7aadf2a1acc0c,257,?,0,2,3452.92,17,1,148,0,1,0,0.701754,57,40,6,38224,cluster1,
582,722,13a9f5bd9bb03ed2a2cc02b4725dc784,255,?,0,2,101.691667,17.666667,3,224,0,1,0,0.625,64,40,3,57181,cluster1,
583,1260,218111de90a8337a9c4ed86283fd46bd,255,?,0,2,1561.038889,19.230769,2.166667,1391,0,1,0,0,387,0,13,354761,cluster1,
584,8416,e8265b26167a3ca99df83fe5b9185f87,255,?,0,2,1651.975,17.692308,1.857143,6,0,0,0,2.505703,263,659,13,1774,cluster1,
585,2314,3e00879b5a7e35869c1c96d3a3b05eb4,253,?,0,0,?,2,1,63,0,0,0,0.381887,16209,6190,1,16047,cluster1,
586,4772,80b41ed6d9173289a5f27e7556200ffc,249,?,0,1.875,4253.624444,17.4375,3.2,241,0,1,0,0.533333,75,40,16,60202,cluster1,
587,5185,8bee6213d9d33da9a4c9c9bf3874ebce,249,?,0,2,1215.644444,18.5625,2,1471,0,1,0,0,308,0,16,366457,cluster1,
588,8654,eedba0ae895035559f0d998abfcefe92,249,?,0,2,2625.283333,17.25,4,144,0,1,0,0.740741,54,40,8,36075,cluster1,
589,7129,c2da382f1d4636b2b5a584cff1e90e6d,248,?,0,2,6486.633333,17.5,1.714286,1243,0,1,0,0,302,0,12,308341,cluster1,
590,3132,555c5ef13eb436e7b990eb5013852b2f,245,?,0,1,?,11,1,442,0,1,0,0,975,0,1,108368,cluster1,
591,8956,f6b3db2c7b693e0990f508c7edd0e1bf,244,?,0,2,3289.353333,14.666667,2,205,0,1,0,0.714286,56,40,6,50228,cluster1,
592,440,0c10e115b4903b49a3da11f681a4e56a,243,?,0,1.894737,4027.059259,18.263158,2.375,1574,0,1,0,0,344,0,19,382528,cluster1,
593,1705,2d630d956c2c3c1483fb9924e0e9cafa,241,?,0,0,4131.7,23,1,14,1,1,0,0.074526,4589,342,2,3379,cluster1,
594,7638,d091332dfc2336abb7f1646dcced0ca0,241,?,0,2,11523.51667,11,1,25,0,0,0,0.055041,3997,220,2,6145,cluster1,
595,8838,f392514f7ac8395b9b1434e380bc68eb,240,?,0,1.684211,1121.830556,18.421053,1.9,1275,0,1,0,0,277,0,19,306215,cluster1,
596,5704,9b2ae6a45b3b344a9c3cdadad4c9a472,238,?,0,2,1519.540278,19,1.857143,1453,0,1,0,0,255,0,13,346016,cluster1,
597,5865,9fcdcd595eab39e8a2090ea7e1ad0c51,238,?,0,2,929.526852,18.631579,2.111111,1426,0,1,0,0,293,0,19,339427,cluster1,
598,7787,d52ebc44408c3b2dadb9b76b73464bca,235,?,0,1.882353,1264.560417,18.176471,1.888889,1147,0,1,0,0,285,0,17,269561,cluster1,
599,1464,2726868de7093dd7bbd54d32631c26cc,234,?,0,0.25,0.505556,20.25,4,14,1,1,0,0.52093,215,112,4,3319,cluster1,
600,2081,375de8a84b1f30c88d3ea293431a0933,234,?,0,2,1920.206667,18.363636,1.833333,1281,0,1,0,0,340,0,11,299848,cluster1,
601,2521,4424881e6bd83ff3bc4e5b9875235f23,233,?,0,2,?,17,1,1323,0,1,0,0,371,0,1,308308,cluster1,
602,5398,91cb0c85ecbb36d8a309a2f4cc4a7087,233,?,0,1,2636.855556,13.714286,1.166667,606,0,1,0,1.080808,495,535,7,141408,cluster1,
603,5788,9db70b9f3b773fc7abf86a3ec53fd68b,226,?,0,2,1073.523077,18.071429,2.8,170,0,1,0,0,76,0,14,38586,cluster1,
604,2799,4be4a6d0af1d301991e36d0742d319e2,221,?,0,2,?,16,1,857,0,0,0,0.125561,223,28,1,189420,cluster1,
605,2664,48279fe4866e3f728604810722a7a257,220,?,0,2,7222.905,17.545455,1.833333,1199,0,1,0,0,302,0,11,263797,cluster1,
606,1903,32ad8147796835eb8642ab511d247d77,217,?,0,0.636364,1994.403333,12.363636,1.375,66,0,1,0,2.517876,1846,4648,11,14388,cluster1,
607,8848,f3ee6a3e13b731b5ae4ab832e8232504,217,?,0,0,?,13,1,1841,0,1,0,0,370,0,1,399585,cluster1,
608,4667,7deafe7ff3f23693bdb009399e2805ad,212,?,0,2.5,1602.174242,16,3,149,0,0,0,1.941176,680,1320,12,31736,cluster1,
609,3172,56b2cb495a933de683c14ff719e0d910,204,?,0,1,3177.761111,18,1.166667,235,0,1,0,0,955,0,7,47959,cluster1,
610,2382,3ff5a6542d9f32cd9809f7f4c1512ece,197,?,0,1.333333,8700.708333,18.666667,1.5,786,1,0,0,0.033582,2412,81,3,154927,cluster1,
611,4639,7d49fdae272e3667a76b49beae088ef5,196,?,0,0,?,9,1,473,0,1,0,2.782576,1320,3673,1,92831,cluster1,
612,7317,c7e94b872a7a34419db6061ec98365d2,195,?,0,1,?,9,1,524,0,0,0,0.156015,532,83,1,102232,cluster1,
613,3317,5a8a8d592a303870b8efcbfb434f7139,187,?,0,2,1709.224242,16.75,1.714286,222,0,1,0,0.307692,130,40,12,41591,cluster1,
614,2280,3ce45845df51355dbc42ee9384966a9a,186,?,0,2,1018.149167,16.52381,1.909091,220,0,1,0,0.506329,79,40,21,40921,cluster1,
615,2939,4fdc850fbd3537f0ac5b589c0f6490e0,184,?,0,0.541667,930.849275,11.208333,4,945,0,1,0,0,293,0,24,174039,cluster1,
616,3839,67deaac821d83291b96eece8eb05fcba,184,?,0,1,?,17,1,1178,0,1,0,0,306,0,1,216870,cluster1,
617,5894,a0ae5b9c608934128300b56683efc5ce,184,?,0,2,1410.12,16.4375,2.285714,203,0,1,0,0.39604,101,40,16,37451,cluster1,
618,213,05725c69da0d367cbbe324d0a506dc6c,183,?,0,2,2703.977778,17.571429,3.5,200,0,1,0,0.3125,128,40,28,36687,cluster1,
