No.,Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,default_profile,default_profile_image,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,Cluster
169,3744,657fa37b177f39218a01c72a067de77c,2452,?,0,2,?,16,1,86,0,0,0,0.904211,10544,9534,1,211924,cluster1
170,8594,ed0aa541a365314bbf41eefec7ac3810,2452,?,0,0,0.15,10.5,2,51,1.5,0,0,0.810888,3876,3143,2,125058,cluster1
171,1710,2d6b5a16122f304ab0dc91d0a7433334,2446,?,0,0,?,16,1,305,1,0,0,0.000755,59591,45,1,746517,cluster1
172,9056,f9dc130b306d307b8f8b106912c122f7,2446,?,0,0,4498.4,19.5,1,8,0,0,0,1.078975,2849,3074,2,20074,cluster1
173,472,0d10005a287236ef8f8562a865d73a0a,2440,?,0,0.666667,2913.016667,18.666667,1,39,1,0,0,3.539927,1365,4832,3,95356,cluster1
174,3616,627f2b688c5e39e8bf726c1f59bb002d,2437,?,0,2,4297.85,15.5,1,280,0,0,0,0.948803,16251,15419,2,683497,cluster1
175,1795,2fb67ada4d203d75bc5b688a77e8fc44,2434,?,0,0,?,22,1,230,0,0,0,0.339678,2049,696,1,560480,cluster1
176,5035,8741b8eb0b04372fad2d7ad8c8bd0245,2433,?,0,0.5,1550.2,16.5,1,44,1,0,0,2.105724,1712,3605,2,108228,cluster1
177,3948,6b2806a4102b3d0680269a77f146f2fa,2427,?,0,1,3784.683333,21,1.25,10,0,0,0,0.972713,1979,1925,5,26255,cluster1
178,1643,2bbc0de5f9a73334862a382b08b8e0f3,2426,?,0,0.5,1918.983333,16,2,191,1,0,0,0.698677,4384,3063,4,464368,cluster1
179,8173,e077a2e15be83a1dbbdf07cc24e0d2bb,2424,?,0,0,158.375,18,3,1,1,0,0,0.617284,81,50,3,3085,cluster1
180,2200,3a4d0b04896330d68c01e4dd9f0969f1,2419,?,0,0,?,10,1,194,1,0,0,0.511704,31913,16330,1,471176,cluster1
181,9140,fc3df0099d0c31e6af8c245775df5a68,2408,?,0,0,?,20,1,27,6,1,0,0.004155,140064,582,1,65237,cluster1
182,7524,cd82ecd9fb5b3688a0ceaf894ac3e384,2404,?,0,0,?,5,1,4,0,0,0,0.159234,43973,7002,1,9683,cluster1
183,5025,870308e868c435968f9dd1b0bbe2a41f,2386,?,0,1,?,23,1,6,0,0,0,0.104381,11458,1196,1,16167,cluster1
184,2040,3620723a99163303b733babdf5b3748d,2384,?,0,0,?,10,1,230,1,0,0,0.826815,5676,4693,1,549633,cluster1
185,5920,a1d834cec4df3a61bda26f6dd4b6dab3,2375,?,0,1,2956.444444,14,3.5,71,0,0,0,0.117318,5728,672,7,168912,cluster1
186,599,107f36f2636f33e2b6550eeb3af92fb4,2372,?,0,0,?,10,1,111,1,0,0,1.095292,5289,5793,1,263546,cluster1
187,6667,b60fc8fbb48e3a84be4f6b214fe5f6ad,2371,?,0,0,322.020052,0,5.909091,15,0,1,0,0.033054,3812,126,65,36476,cluster1
188,2504,43d484fc52c03fc9b6adc651228e7164,2360,?,0,2,19.825,13.666667,3,293,0,0,0,0.585526,18930,11084,3,693106,cluster1
189,4973,85b0eff0057739c096636f42320dd8ae,2359,?,0,1,?,15,1,3,0,0,0,0.001556,86145,134,1,8236,cluster1
190,608,10b8bdbb3ecb3161a7847a9d56766005,2350,?,0,1,?,20,1,10,1,0,0,0.00178,317463,565,1,24833,cluster1
191,9177,fd4ae85d151439a5839cac63e3f44b3d,2341,?,0,1,2691.944444,18.75,1.333333,24,0.5,0,0,0.945347,3879,3667,4,57306,cluster1
192,4962,856bac4010a038648a7de1e880e1813f,2340,?,0,1,3667.216667,22.5,1,190,0,0,0,0.002428,2059,5,2,445661,cluster1
193,3117,54d502a9983e3fbcbfdb8c5f4b106977,2329,?,0,2,?,15,1,24,1,0,0,0.017633,33970,599,1,56347,cluster1
194,4901,83931f9520b13e3999f07acb7f0ec536,2322,?,0,0,10050.81667,11,1,5,0,0,0,1.037712,4773,4953,2,12700,cluster1
195,748,143d7e8c660b3471b2ee46bc15087bf1,2311,?,0,2,?,15,1,19,1,0,0,0.03038,16063,488,1,44691,cluster1
196,9055,f9d78914bf433a7a88f40be70049eca7,2302,?,0,1,309.297222,2.947368,4.75,3,0,0,0,3.965092,487,1931,19,7369,cluster1
197,8217,e1b057067e7a3381a0a9efaf0b0a8bdc,2301,?,0,0.5,1813.1,16.5,1,53,1,0,0,1.760211,2840,4999,2,123360,cluster1
198,2358,3f60bfcfa6c537d3a36efcc2707f90ca,2300,?,0,0,?,14,1,3,0,0,0,0.649594,48595,31567,1,7943,cluster1
199,2849,4d798ebf2a4e30cab10375de849a62bc,2300,?,0,1,3769.594444,9,2,33,0,1,0,0.965059,4293,4143,4,76930,cluster1
