No,Instance_number,author_guid,account_age,author_type,average_post_lenth,average_posts_per_day_total,average_user_mentions,boosting_timeslots_count,friends_followers_ratio,number_followers,number_friends,number_of_posts,number_pointers,Cluster
259,4835,e37c71559f103214b3cfa6c7fcbcf106,?,?,20,?,0,?,0,?,?,?,?,cluster2
260,4997,ebb0da288f6a34329d2c04ae1dcc430d,?,?,20,?,0,?,0,?,?,?,?,cluster2
261,5041,ed2ddcf1e0a5379c8394cf1d14ed96ad,?,?,20,?,0,?,0,?,?,?,?,cluster2
262,5383,fde892293fe435d09b6723c9763eec26,?,?,20,?,0,?,0,?,?,?,?,cluster2
263,85,03efe7da18ec3eb587916161e2907195,?,?,19,?,0,?,0,?,?,?,?,cluster2
264,174,08f4bf45e20c303aac0424906b55c183,?,?,19,?,0,?,0,?,?,?,?,cluster2
265,2243,67c5112d94693d3cb12e1a3018825ffa,?,?,19,?,0,?,0,?,?,?,?,cluster2
266,3081,8e353b63b4c83300906c15af01340b43,?,?,19,?,0,?,0,?,?,?,?,cluster2
267,3466,a2765083ff563f46a2c852c11843dab8,?,?,19,?,0,?,0,?,?,?,?,cluster2
268,4435,d06a684c666433c891d4cdbf0c002497,?,?,19,?,0,?,0,?,?,?,?,cluster2
269,4515,d3f6999fc77b3e389632c9a332ef6b80,?,?,19,?,0,?,0,?,?,?,?,cluster2
270,4631,d9bfaa20a02d32bbbb5370a28eca3452,?,?,19,?,0,?,0,?,?,?,?,cluster2
271,4652,db0fede780363b6594c517e95b171498,?,?,19,?,0,?,0,?,?,?,?,cluster2
272,4899,e6ce8b8881063a6b9ca0bf30af5f7e76,?,?,19,?,0,?,0,?,?,?,?,cluster2
273,5112,f11f74dd3f413085903e4c8f816a0c31,?,?,19,?,0,?,0,?,?,?,?,cluster2
274,5215,f5bc6cb8629e3b90b96c51056cf4aeff,?,?,19,?,0,?,0,?,?,?,?,cluster2
275,472,15ffda24d9963646af455134acd351c4,?,?,18,?,0,?,0,?,?,?,?,cluster2
276,877,2829c4163f9f30ffabd5c41806b7f948,?,?,18,?,0,?,0,?,?,?,?,cluster2
