inst#,actual,predicted,error,prediction
418,1:?,2:good_actor,,0.928
419,1:?,2:good_actor,,0.928
420,1:?,2:good_actor,,0.928
421,1:?,2:good_actor,,0.9
422,1:?,2:good_actor,,0.928
423,1:?,1:bad_actor,,1
424,1:?,2:good_actor,,0.9
425,1:?,2:good_actor,,0.9
426,1:?,2:good_actor,,0.928
427,1:?,2:good_actor,,0.928
428,1:?,2:good_actor,,0.928
429,1:?,2:good_actor,,0.928
430,1:?,2:good_actor,,0.928
431,1:?,2:good_actor,,0.928
432,1:?,2:good_actor,,0.928
433,1:?,2:good_actor,,0.928
434,1:?,2:good_actor,,0.928
435,1:?,2:good_actor,,0.928
436,1:?,2:good_actor,,0.928
437,1:?,2:good_actor,,0.928
438,1:?,2:good_actor,,0.928
439,1:?,2:good_actor,,0.928
440,1:?,2:good_actor,,0.928
441,1:?,2:good_actor,,0.928
442,1:?,2:good_actor,,0.928
443,1:?,2:good_actor,,0.928
444,1:?,2:good_actor,,0.928
445,1:?,2:good_actor,,0.928
446,1:?,2:good_actor,,0.928
447,1:?,2:good_actor,,0.928
448,1:?,2:good_actor,,0.928
449,1:?,2:good_actor,,0.928
450,1:?,2:good_actor,,0.928
451,1:?,1:bad_actor,,1
452,1:?,2:good_actor,,0.8
453,1:?,1:bad_actor,,1
454,1:?,2:good_actor,,0.928
455,1:?,2:good_actor,,0.928
456,1:?,2:good_actor,,0.928
457,1:?,2:good_actor,,0.928
458,1:?,2:good_actor,,0.928
459,1:?,2:good_actor,,0.928
460,1:?,2:good_actor,,0.928
461,1:?,2:good_actor,,0.928
462,1:?,2:good_actor,,0.928
463,1:?,2:good_actor,,0.928
464,1:?,2:good_actor,,0.928
465,1:?,2:good_actor,,0.928
466,1:?,2:good_actor,,0.928
467,1:?,2:good_actor,,0.928
468,1:?,2:good_actor,,0.928
469,1:?,2:good_actor,,0.928
470,1:?,2:good_actor,,0.928
471,1:?,2:good_actor,,0.9
472,1:?,2:good_actor,,0.928
473,1:?,2:good_actor,,0.928
474,1:?,2:good_actor,,0.928
475,1:?,2:good_actor,,0.928
476,1:?,2:good_actor,,0.928
477,1:?,2:good_actor,,0.928
478,1:?,2:good_actor,,0.928
479,1:?,2:good_actor,,0.928
480,1:?,2:good_actor,,0.928
481,1:?,2:good_actor,,0.928
482,1:?,2:good_actor,,0.928
483,1:?,2:good_actor,,0.928
484,1:?,2:good_actor,,0.928
485,1:?,2:good_actor,,1
486,1:?,2:good_actor,,0.928
487,1:?,2:good_actor,,0.928
488,1:?,2:good_actor,,0.928
489,1:?,2:good_actor,,0.928
490,1:?,2:good_actor,,0.928
491,1:?,2:good_actor,,0.928
492,1:?,2:good_actor,,0.928
493,1:?,2:good_actor,,0.928
494,1:?,2:good_actor,,0.928
495,1:?,2:good_actor,,0.9
496,1:?,2:good_actor,,0.928
497,1:?,2:good_actor,,0.928
498,1:?,2:good_actor,,0.928
499,1:?,2:good_actor,,0.928
500,1:?,2:good_actor,,0.928
501,1:?,2:good_actor,,0.928
502,1:?,2:good_actor,,0.928
503,1:?,2:good_actor,,0.928
504,1:?,2:good_actor,,0.928
505,1:?,2:good_actor,,0.928
506,1:?,2:good_actor,,0.928
507,1:?,2:good_actor,,0.928
508,1:?,2:good_actor,,0.928
509,1:?,2:good_actor,,0.928
510,1:?,2:good_actor,,0.928
511,1:?,2:good_actor,,0.928
512,1:?,2:good_actor,,0.928
513,1:?,2:good_actor,,0.9
514,1:?,2:good_actor,,0.928
515,1:?,2:good_actor,,0.928
516,1:?,2:good_actor,,0.928
517,1:?,2:good_actor,,0.928
518,1:?,2:good_actor,,0.928
519,1:?,2:good_actor,,0.928
520,1:?,2:good_actor,,0.928
521,1:?,2:good_actor,,0.928
522,1:?,2:good_actor,,0.928
523,1:?,2:good_actor,,0.928
524,1:?,1:bad_actor,,1
525,1:?,2:good_actor,,0.928
526,1:?,2:good_actor,,0.928
527,1:?,1:bad_actor,,1
528,1:?,2:good_actor,,0.928
529,1:?,2:good_actor,,0.928
530,1:?,2:good_actor,,0.928
531,1:?,2:good_actor,,0.928
532,1:?,2:good_actor,,0.928
533,1:?,2:good_actor,,0.928
534,1:?,1:bad_actor,,1
535,1:?,2:good_actor,,0.928
536,1:?,2:good_actor,,0.928
537,1:?,2:good_actor,,0.9
538,1:?,2:good_actor,,0.928
539,1:?,2:good_actor,,0.928
540,1:?,2:good_actor,,0.928
541,1:?,2:good_actor,,0.928
542,1:?,2:good_actor,,0.928
543,1:?,2:good_actor,,0.928
544,1:?,2:good_actor,,0.928
545,1:?,2:good_actor,,0.928
546,1:?,2:good_actor,,0.928
547,1:?,2:good_actor,,0.928
548,1:?,2:good_actor,,0.928
549,1:?,2:good_actor,,0.928
550,1:?,2:good_actor,,0.928
551,1:?,1:bad_actor,,1
552,1:?,2:good_actor,,0.928
553,1:?,2:good_actor,,0.928
554,1:?,2:good_actor,,0.928
555,1:?,2:good_actor,,0.928
556,1:?,2:good_actor,,0.9
557,1:?,2:good_actor,,0.928
558,1:?,2:good_actor,,0.928
559,1:?,2:good_actor,,0.928
560,1:?,2:good_actor,,0.928
561,1:?,2:good_actor,,0.928
562,1:?,2:good_actor,,0.928
563,1:?,2:good_actor,,0.928
564,1:?,2:good_actor,,0.928
565,1:?,2:good_actor,,0.8
566,1:?,2:good_actor,,0.928
567,1:?,2:good_actor,,0.928
568,1:?,2:good_actor,,0.928
569,1:?,2:good_actor,,0.928
570,1:?,2:good_actor,,0.928
571,1:?,2:good_actor,,0.928
572,1:?,2:good_actor,,0.928
573,1:?,2:good_actor,,0.928
574,1:?,2:good_actor,,0.928
575,1:?,2:good_actor,,0.928
576,1:?,2:good_actor,,0.928
577,1:?,2:good_actor,,0.928
578,1:?,2:good_actor,,0.9
579,1:?,2:good_actor,,0.928
580,1:?,2:good_actor,,0.928
581,1:?,2:good_actor,,0.928
582,1:?,1:bad_actor,,1
583,1:?,2:good_actor,,0.928
584,1:?,2:good_actor,,0.928
585,1:?,2:good_actor,,0.928
586,1:?,2:good_actor,,0.928
587,1:?,2:good_actor,,0.928
588,1:?,2:good_actor,,0.928
589,1:?,2:good_actor,,0.928
590,1:?,2:good_actor,,0.928
591,1:?,2:good_actor,,0.928
592,1:?,2:good_actor,,0.928
593,1:?,2:good_actor,,0.928
594,1:?,2:good_actor,,0.928
595,1:?,2:good_actor,,0.928
596,1:?,2:good_actor,,0.928
597,1:?,2:good_actor,,0.928
598,1:?,2:good_actor,,0.928
599,1:?,2:good_actor,,0.928
600,1:?,2:good_actor,,0.928
601,1:?,2:good_actor,,0.928
602,1:?,2:good_actor,,0.928
603,1:?,1:bad_actor,,1
