inst#,actual,predicted,error,prediction
042a04ef614a3edc89eaa6c67bcc8c4d,1:?,1:bad_actor,,0.762
042bd74fc6d633cbb169d8de5eca456a,1:?,1:bad_actor,,0.762
042f7e20bfec30ecb5b5472d56f5fc4e,1:?,1:bad_actor,,0.762
043ccce72bd235bc8452d7f25ab91f9f,1:?,2:good_actor,,0.699
043d5f2fcc2e3bd9bfa98026fa7cd506,1:?,1:bad_actor,,0.999
0441d258754c39459e5793e4645d2649,1:?,2:good_actor,,0.691
0442e577dc2c3e6aa2a2f53a261d3170,1:?,2:good_actor,,0.699
044a70d97bec3eb2b15842bb94689a42,1:?,1:bad_actor,,0.762
044c0bab4cf33c76ae020bc8ccd36844,1:?,2:good_actor,,0.691
044e2225ba9c3935934cf5e994516363,1:?,2:good_actor,,0.691
044ee67e397936a28075d5bf30195e34,1:?,2:good_actor,,0.699
044f72d68ab836a286b81962d599a88a,1:?,1:bad_actor,,0.762
044fe4fe1b4539f6838deeaedd46dd37,1:?,1:bad_actor,,0.762
04534ea6520e33959d8e67f2cf55d74a,1:?,1:bad_actor,,0.999
04564be1934c35e18613ba5970aaecc9,1:?,1:bad_actor,,0.762
04586cd20f9131d1a3507f5dae8b5363,1:?,2:good_actor,,0.691
045b24e3cc6133d7b49a9fee2fd16740,1:?,1:bad_actor,,0.999
0461221e9eec30e18b9b27529a77d1f9,1:?,1:bad_actor,,0.762
04626728eb193aa0be5eb3f30746723e,1:?,1:bad_actor,,0.762
046c9b5b29ea3d1fb1c55f015778beff,1:?,2:good_actor,,0.699
047f065428373d268c9bca6b4938d6be,1:?,1:bad_actor,,0.98
048068d7c87236c4980e3b7e44071228,1:?,1:bad_actor,,0.997
0481fc6f058136dfb2c9d04984d6a4db,1:?,2:good_actor,,0.699
04822a76add03a758b1d2884dea7b9f0,1:?,2:good_actor,,0.691
0485b9eea92c3c4db2b73dae88a53af4,1:?,2:good_actor,,0.691
048858245d8a3b32bde9d45886b93c54,1:?,2:good_actor,,0.691
0488f3412bc93e89a43dc07e146d561a,1:?,2:good_actor,,0.691
048a4d41050e3d1e9e6f6d15b01d5fb3,1:?,2:good_actor,,0.691
048e09990c6d31fb9b29ff4d52d8660d,1:?,2:good_actor,,0.691
049c1053475a3d7da646270aa46e61fa,1:?,1:bad_actor,,0.762
04a029a0c6f83688a36a91d8b5546710,1:?,2:good_actor,,0.691
04a11a725d963e5baaf8e486a11d9f17,1:?,1:bad_actor,,0.762
04a5cae1a4e832c28bae128afac6e785,1:?,2:good_actor,,0.699
04a95056c0cf3333a6aed374eedf9963,1:?,1:bad_actor,,0.762
04b56efcc2f63a27b79f6eceb9609c6c,1:?,2:good_actor,,0.691
04b9301634b636b782ddc6301899adf7,1:?,1:bad_actor,,0.762
04c0492532563a538bcf5fd65e0c5fd1,1:?,1:bad_actor,,0.999
04cbd6c319d133a3bbddd6c7561fc0d4,1:?,2:good_actor,,0.691
04cbf89169c531288e45a34c5d251f02,1:?,1:bad_actor,,0.999
04cc48852117398c93f6dfe0c933b0ef,1:?,2:good_actor,,0.699
04cd99e6637a364380d7c4ce47152266,1:?,1:bad_actor,,0.762
04d7c492bd943b88808b759578fbbd3b,1:?,1:bad_actor,,0.997
04dc07a65af63df295eb70bd5e0363c7,1:?,2:good_actor,,0.691
04e758fa373c3e33b9d3666a5f137d40,1:?,1:bad_actor,,0.762
04e9ef1507443c98888b29041913d681,1:?,1:bad_actor,,0.98
04effee683cd3639acd319dbdcc1c75f,1:?,2:good_actor,,0.691
04ff0e9bb47237678dbe53881faae0ca,1:?,2:good_actor,,0.691
050267d7dab9372990f9cb7e01ab7ab8,1:?,2:good_actor,,0.691
0513a9f7ca9f334e8457fa2c87b9a347,1:?,1:bad_actor,,0.762
05176ecf857c39b9be829e9f035e0439,1:?,1:bad_actor,,0.762
051a03c3bf96311dada186e6352e233b,1:?,2:good_actor,,0.699
051d3f37918d3a088f0fc81eee8560a5,1:?,2:good_actor,,0.691
051f4b114b75339982eaeffcb3609e44,1:?,1:bad_actor,,0.999
0530a058171e39d08fdb5671561f1036,1:?,2:good_actor,,0.691
0533fff49e1b3da892ee48f588773149,1:?,1:bad_actor,,0.997
053a56ce8f693d7d85b453367e00eb00,1:?,2:good_actor,,0.691
053ab7af9e283be5acaf3d8a0ab6ee66,1:?,1:bad_actor,,0.997
053e86fb38eb31008763b0e3f2c994fa,1:?,1:bad_actor,,0.999
053f9ff044663c8784f547702314d40d,1:?,2:good_actor,,0.691
0540a7696d1732af9811dcc2d240782f,1:?,1:bad_actor,,0.8
0540ecbcec6c37a7b8364488b5d248ff,1:?,2:good_actor,,0.691
05430f241dcb3e16bdbb39faa16bda95,1:?,1:bad_actor,,0.999
054cf6005e0039ec87aa0ec6ab783c47,1:?,2:good_actor,,0.691
055839694f0632978a7087b5c3722255,1:?,2:good_actor,,0.691
055d1cbd79e737cd89e3b621b27bac7f,1:?,1:bad_actor,,0.762
055d287b24d934a58abc975568bf98a8,1:?,2:good_actor,,0.691
056524f2517f30cc969333e84276180d,1:?,1:bad_actor,,0.762
0565fdce6a6730178dbaebc5ebef6499,1:?,2:good_actor,,0.691
05693f430d1d341cb8bf293002a239f7,1:?,1:bad_actor,,0.762
056f84264a493d169ac6a423b7aed5cf,1:?,2:good_actor,,0.691
